INFO:root:Epoch: 055 |Batch: 000 | loss: 0.420843 | reconstruction_loss: 0.351323 | z_kl_loss: 0.069520 | accu: 0.943034 Binary_Cross_Entropy:0.3513234555721283.   KL-D:0.0695195198059082.
INFO:root:Epoch: 056 |Batch: 000 | loss: 0.455550 | reconstruction_loss: 0.351441 | z_kl_loss: 0.104110 | accu: 0.942943 Binary_Cross_Entropy:0.3514406383037567.   KL-D:0.10410957783460617.
INFO:root:Epoch: 057 |Batch: 000 | loss: 0.501624 | reconstruction_loss: 0.351277 | z_kl_loss: 0.150347 | accu: 0.943091 Binary_Cross_Entropy:0.35127732157707214.   KL-D:0.15034694969654083.
INFO:root:Epoch: 058 |Batch: 000 | loss: 0.550295 | reconstruction_loss: 0.351538 | z_kl_loss: 0.198757 | accu: 0.943109 Binary_Cross_Entropy:0.35153818130493164.   KL-D:0.1987568587064743.
INFO:root:Epoch: 059 |Batch: 000 | loss: 0.592880 | reconstruction_loss: 0.351225 | z_kl_loss: 0.241656 | accu: 0.943078 Binary_Cross_Entropy:0.35122472047805786.   KL-D:0.24165569245815277.
INFO:root:Epoch: 060 |Batch: 000 | loss: 0.625029 | reconstruction_loss: 0.351142 | z_kl_loss: 0.273887 | accu: 0.942924 Binary_Cross_Entropy:0.35114216804504395.   KL-D:0.2738873064517975.
INFO:root:Epoch: 061 |Batch: 000 | loss: 0.644183 | reconstruction_loss: 0.351077 | z_kl_loss: 0.293107 | accu: 0.942814 Binary_Cross_Entropy:0.35107675194740295.   KL-D:0.29310667514801025.
INFO:root:Epoch: 062 |Batch: 000 | loss: 0.650488 | reconstruction_loss: 0.351024 | z_kl_loss: 0.299464 | accu: 0.942661 Binary_Cross_Entropy:0.3510236144065857.   KL-D:0.2994644343852997.
INFO:root:Epoch: 063 |Batch: 000 | loss: 0.645768 | reconstruction_loss: 0.350924 | z_kl_loss: 0.294844 | accu: 0.942552 Binary_Cross_Entropy:0.35092422366142273.   KL-D:0.29484400153160095.
INFO:root:Epoch: 064 |Batch: 000 | loss: 0.632635 | reconstruction_loss: 0.350690 | z_kl_loss: 0.281944 | accu: 0.942491 Binary_Cross_Entropy:0.35069039463996887.   KL-D:0.2819441556930542.
INFO:root:Epoch: 065 |Batch: 000 | loss: 0.614278 | reconstruction_loss: 0.350734 | z_kl_loss: 0.263544 | accu: 0.942543 Binary_Cross_Entropy:0.35073354840278625.   KL-D:0.26354414224624634.
INFO:root:Epoch: 066 |Batch: 000 | loss: 0.592614 | reconstruction_loss: 0.350566 | z_kl_loss: 0.242048 | accu: 0.942493 Binary_Cross_Entropy:0.35056617856025696.   KL-D:0.2420482635498047.
INFO:root:Epoch: 067 |Batch: 000 | loss: 0.569737 | reconstruction_loss: 0.350441 | z_kl_loss: 0.219297 | accu: 0.942498 Binary_Cross_Entropy:0.3504405617713928.   KL-D:0.21929673850536346.
INFO:root:Epoch: 068 |Batch: 000 | loss: 0.546905 | reconstruction_loss: 0.350305 | z_kl_loss: 0.196600 | accu: 0.942456 Binary_Cross_Entropy:0.35030463337898254.   KL-D:0.1966000646352768.
INFO:root:Epoch: 069 |Batch: 000 | loss: 0.525129 | reconstruction_loss: 0.350294 | z_kl_loss: 0.174834 | accu: 0.942467 Binary_Cross_Entropy:0.35029447078704834.   KL-D:0.17483410239219666.
INFO:root:Epoch: 070 |Batch: 000 | loss: 0.504788 | reconstruction_loss: 0.350244 | z_kl_loss: 0.154544 | accu: 0.942496 Binary_Cross_Entropy:0.3502439260482788.   KL-D:0.15454407036304474.
INFO:root:Epoch: 071 |Batch: 000 | loss: 0.486222 | reconstruction_loss: 0.350168 | z_kl_loss: 0.136053 | accu: 0.942516 Binary_Cross_Entropy:0.3501683175563812.   KL-D:0.13605347275733948.
INFO:root:Epoch: 072 |Batch: 000 | loss: 0.469463 | reconstruction_loss: 0.349948 | z_kl_loss: 0.119514 | accu: 0.942588 Binary_Cross_Entropy:0.3499482274055481.   KL-D:0.11951432377099991.
INFO:root:Epoch: 073 |Batch: 000 | loss: 0.454993 | reconstruction_loss: 0.350050 | z_kl_loss: 0.104942 | accu: 0.942645 Binary_Cross_Entropy:0.3500504493713379.   KL-D:0.10494210571050644.
INFO:root:Epoch: 074 |Batch: 000 | loss: 0.441995 | reconstruction_loss: 0.349737 | z_kl_loss: 0.092257 | accu: 0.942745 Binary_Cross_Entropy:0.3497374951839447.   KL-D:0.09225724637508392.
INFO:root:Epoch: 075 |Batch: 000 | loss: 0.431157 | reconstruction_loss: 0.349854 | z_kl_loss: 0.081303 | accu: 0.942753 Binary_Cross_Entropy:0.34985437989234924.   KL-D:0.08130266517400742.
INFO:root:Epoch: 076 |Batch: 000 | loss: 0.421551 | reconstruction_loss: 0.349663 | z_kl_loss: 0.071888 | accu: 0.942872 Binary_Cross_Entropy:0.34966298937797546.   KL-D:0.07188817113637924.
INFO:root:Epoch: 077 |Batch: 000 | loss: 0.414182 | reconstruction_loss: 0.350373 | z_kl_loss: 0.063809 | accu: 0.943006 Binary_Cross_Entropy:0.35037311911582947.   KL-D:0.06380873918533325.
INFO:root:Epoch: 078 |Batch: 000 | loss: 0.406709 | reconstruction_loss: 0.349830 | z_kl_loss: 0.056879 | accu: 0.943075 Binary_Cross_Entropy:0.3498299717903137.   KL-D:0.05687931925058365.
INFO:root:Epoch: 079 |Batch: 000 | loss: 0.488215 | reconstruction_loss: 0.437305 | z_kl_loss: 0.050910 | accu: 0.932155 Binary_Cross_Entropy:0.43730512261390686.   KL-D:0.05090981721878052.
INFO:root:Epoch: 080 |Batch: 000 | loss: 0.409338 | reconstruction_loss: 0.349471 | z_kl_loss: 0.059867 | accu: 0.942976 Binary_Cross_Entropy:0.34947139024734497.   KL-D:0.05986687168478966.
INFO:root:Epoch: 081 |Batch: 000 | loss: 0.436766 | reconstruction_loss: 0.349548 | z_kl_loss: 0.087218 | accu: 0.942862 Binary_Cross_Entropy:0.3495483100414276.   KL-D:0.08721798658370972.
INFO:root:Epoch: 082 |Batch: 000 | loss: 0.474286 | reconstruction_loss: 0.349689 | z_kl_loss: 0.124597 | accu: 0.942889 Binary_Cross_Entropy:0.3496885597705841.   KL-D:0.12459739297628403.
INFO:root:Epoch: 083 |Batch: 000 | loss: 0.514343 | reconstruction_loss: 0.349597 | z_kl_loss: 0.164747 | accu: 0.942765 Binary_Cross_Entropy:0.3495965600013733.   KL-D:0.16474667191505432.
INFO:root:Epoch: 084 |Batch: 000 | loss: 0.551330 | reconstruction_loss: 0.349638 | z_kl_loss: 0.201692 | accu: 0.942688 Binary_Cross_Entropy:0.3496379852294922.   KL-D:0.2016916275024414.
INFO:root:Epoch: 085 |Batch: 000 | loss: 0.580929 | reconstruction_loss: 0.349759 | z_kl_loss: 0.231170 | accu: 0.942500 Binary_Cross_Entropy:0.34975937008857727.   KL-D:0.23117005825042725.
INFO:root:Epoch: 086 |Batch: 000 | loss: 0.600600 | reconstruction_loss: 0.349703 | z_kl_loss: 0.250897 | accu: 0.942480 Binary_Cross_Entropy:0.3497028052806854.   KL-D:0.2508973777294159.
INFO:root:Epoch: 087 |Batch: 000 | loss: 0.609949 | reconstruction_loss: 0.349503 | z_kl_loss: 0.260446 | accu: 0.942458 Binary_Cross_Entropy:0.3495034873485565.   KL-D:0.2604459226131439.
INFO:root:Epoch: 088 |Batch: 000 | loss: 0.610478 | reconstruction_loss: 0.349675 | z_kl_loss: 0.260803 | accu: 0.942460 Binary_Cross_Entropy:0.3496754467487335.   KL-D:0.26080289483070374.
INFO:root:Epoch: 089 |Batch: 000 | loss: 0.603331 | reconstruction_loss: 0.349546 | z_kl_loss: 0.253785 | accu: 0.942490 Binary_Cross_Entropy:0.34954577684402466.   KL-D:0.2537849545478821.
